id_performance;id_employe;date_evaluation;score;objectifs_atteints
1;1;01/01/2022;75;VRAI
2;1;01/04/2022;60;FAUX
3;1;01/07/2022;51;VRAI
4;1;01/10/2022;57;VRAI
5;1;01/01/2023;60;VRAI
6;1;01/04/2023;67;VRAI
7;1;01/07/2023;99;FAUX
8;1;01/10/2023;59;VRAI
9;1;01/01/2024;58;VRAI
10;1;01/04/2024;60;VRAI
11;1;01/07/2024;93;FAUX
12;1;01/10/2024;52;VRAI
13;2;01/01/2022;88;FAUX
14;2;01/04/2022;77;VRAI
15;2;01/07/2022;88;VRAI
16;2;01/10/2022;70;FAUX
17;2;01/01/2023;92;VRAI
18;2;01/04/2023;68;FAUX
19;2;01/07/2023;71;VRAI
20;2;01/10/2023;93;FAUX
21;2;01/01/2024;99;VRAI
22;2;01/04/2024;62;VRAI
23;2;01/07/2024;53;FAUX
24;2;01/10/2024;63;FAUX
25;3;01/01/2022;58;VRAI
26;3;01/04/2022;84;VRAI
27;3;01/07/2022;70;FAUX
28;3;01/10/2022;67;VRAI
29;3;01/01/2023;57;VRAI
30;3;01/04/2023;98;FAUX
31;3;01/07/2023;66;VRAI
32;3;01/10/2023;80;FAUX
33;3;01/01/2024;55;FAUX
34;3;01/04/2024;63;VRAI
35;3;01/07/2024;61;FAUX
36;3;01/10/2024;61;VRAI
37;4;01/01/2022;51;FAUX
38;4;01/04/2022;64;VRAI
39;4;01/07/2022;78;VRAI
40;4;01/10/2022;81;VRAI
41;4;01/01/2023;79;FAUX
42;4;01/04/2023;63;FAUX
43;4;01/07/2023;79;VRAI
44;4;01/10/2023;81;FAUX
45;4;01/01/2024;55;VRAI
46;4;01/04/2024;73;FAUX
47;4;01/07/2024;76;FAUX
48;4;01/10/2024;73;VRAI
49;5;01/01/2022;73;FAUX
50;5;01/04/2022;83;FAUX
51;5;01/07/2022;96;VRAI
52;5;01/10/2022;60;FAUX
53;5;01/01/2023;73;VRAI
54;5;01/04/2023;67;FAUX
55;5;01/07/2023;61;VRAI
56;5;01/10/2023;92;FAUX
57;5;01/01/2024;89;FAUX
58;5;01/04/2024;56;VRAI
59;5;01/07/2024;70;FAUX
60;5;01/10/2024;60;FAUX
61;6;01/01/2022;91;VRAI
62;6;01/04/2022;78;FAUX
63;6;01/07/2022;77;VRAI
64;6;01/10/2022;67;FAUX
65;6;01/01/2023;67;FAUX
66;6;01/04/2023;73;FAUX
67;6;01/07/2023;91;FAUX
68;6;01/10/2023;94;VRAI
69;6;01/01/2024;57;FAUX
70;6;01/04/2024;76;FAUX
71;6;01/07/2024;54;VRAI
72;6;01/10/2024;98;FAUX
73;7;01/01/2022;79;FAUX
74;7;01/04/2022;88;VRAI
75;7;01/07/2022;96;FAUX
76;7;01/10/2022;86;FAUX
77;7;01/01/2023;56;VRAI
78;7;01/04/2023;89;FAUX
79;7;01/07/2023;88;FAUX
80;7;01/10/2023;88;FAUX
81;7;01/01/2024;63;VRAI
82;7;01/04/2024;99;FAUX
83;7;01/07/2024;53;FAUX
84;7;01/10/2024;67;FAUX
85;8;01/01/2022;97;VRAI
86;8;01/04/2022;56;FAUX
87;8;01/07/2022;77;VRAI
88;8;01/10/2022;52;FAUX
89;8;01/01/2023;80;VRAI
90;8;01/04/2023;91;FAUX
91;8;01/07/2023;69;VRAI
92;8;01/10/2023;97;FAUX
93;8;01/01/2024;60;FAUX
94;8;01/04/2024;52;VRAI
95;8;01/07/2024;56;VRAI
96;8;01/10/2024;56;FAUX
97;9;01/01/2022;83;FAUX
98;9;01/04/2022;68;FAUX
99;9;01/07/2022;58;FAUX
100;9;01/10/2022;67;VRAI
101;9;01/01/2023;97;VRAI
102;9;01/04/2023;91;VRAI
103;9;01/07/2023;63;FAUX
104;9;01/10/2023;74;VRAI
105;9;01/01/2024;88;VRAI
106;9;01/04/2024;64;FAUX
107;9;01/07/2024;76;FAUX
108;9;01/10/2024;59;VRAI
109;10;01/01/2022;53;VRAI
110;10;01/04/2022;68;VRAI
111;10;01/07/2022;77;VRAI
112;10;01/10/2022;96;FAUX
113;10;01/01/2023;82;FAUX
114;10;01/04/2023;59;VRAI
115;10;01/07/2023;79;FAUX
116;10;01/10/2023;52;VRAI
117;10;01/01/2024;90;FAUX
118;10;01/04/2024;60;FAUX
119;10;01/07/2024;51;FAUX
120;10;01/10/2024;55;VRAI
121;11;01/01/2022;89;FAUX
122;11;01/04/2022;78;VRAI
123;11;01/07/2022;79;FAUX
124;11;01/10/2022;58;VRAI
125;11;01/01/2023;51;VRAI
126;11;01/04/2023;82;FAUX
127;11;01/07/2023;83;FAUX
128;11;01/10/2023;57;VRAI
129;11;01/01/2024;82;VRAI
130;11;01/04/2024;55;FAUX
131;11;01/07/2024;89;VRAI
132;11;01/10/2024;68;FAUX
133;12;01/01/2022;76;VRAI
134;12;01/04/2022;92;FAUX
135;12;01/07/2022;82;FAUX
136;12;01/10/2022;89;FAUX
137;12;01/01/2023;54;VRAI
138;12;01/04/2023;57;VRAI
139;12;01/07/2023;91;FAUX
140;12;01/10/2023;58;FAUX
141;12;01/01/2024;72;VRAI
142;12;01/04/2024;99;VRAI
143;12;01/07/2024;64;VRAI
144;12;01/10/2024;69;FAUX
145;13;01/01/2022;74;VRAI
146;13;01/04/2022;95;FAUX
147;13;01/07/2022;83;FAUX
148;13;01/10/2022;71;VRAI
149;13;01/01/2023;97;FAUX
150;13;01/04/2023;88;VRAI
151;13;01/07/2023;84;VRAI
152;13;01/10/2023;95;FAUX
153;13;01/01/2024;57;FAUX
